"chapter","constraint","value","text"
"70","chapitre","70","Bartlebooth,2"
"70","1A_position","a plat ventre"," "
"70","1a_activite","manger"," "
"70","1B_citation_1","Borges"," "
"70","1b_citation_2","Nabokov"," "
"70","2A_nombre_personnes","1."," "
"70","2a_role","fournisseur"," "
"70","2B_3e_secteur","agendas, calendriers"," "
"70","2b_ressort_","revenir de voyage"," "
"70","3A_murs","tissu jute ou autre"," "
"70","3a_sols","parquet a point de Hongrie"," "
"70","3B_epoque","avant 39"," "
"70","3b_lieu","Espagne"," "
"70","4A_style","camping"," "
"70","4a_meubles","gueridon, etc…"," "
"70","4B_longueur","1 page"," "
"70","4b_divers","militaires"," "
"70","5A_age_et_sexe","vieillard femme"," "
"70","5a_animaux","oiseau"," "
"70","5B_vetement","costume, ensemble"," "
"70","5b_tissus_(nature)","a pois"," "
"70","6A_tissus_(matiere)","lin"," "
"70","6a_couleurs","orange"," "
"70","6B_accessoires","chapeau"," "
"70","6b_bijoux","collier"," "
"70","7A_lectures","quotidien"," "
"70","7a_musiques","contemporain"," "
"70","7B_tableaux","Les Menines(Velasquez)"," "
"70","7b_livre","Hamlet(William Shakespeare)"," "
"70","8A_boissons","cafe"," "
"70","8a_nourriture","viandes, abats, gibier"," "
"70","8B_petit_meuble","boîtes"," "
"70","8b_jeux","mots croises"," "
"70","9A_sentiments","colere"," "
"70","9a_peintures","affiches"," "
"70","9B_surface","trapeze"," "
"70","9b_volume","oeuf"," "
"70","0A_vegetal","fleurs seches"," "
"70","0a_bibelots","marbre"," "
"70","0B_manque","4"," "
"70","0b_faux","9"," "
"70","1C_couple_1","Philemon"," "
"70","1c_couple_2","Prejuge"," "
"70","coordonnees","62","Une fois il resta assis 62 heures d'affilee devant un puzzle inacheve"
"70","compendium","44","Scipion definissant par du vieux avec du neuf un nonagenaire"
"70","compendium","174","La dame en robe a pois faisant du tricot au bord de la plage"
"70","histoires","67","de l’importateur de Lisbonne et de son correspondant egyptien
{Farîd Abu Talif}"
"70","chronologie","mars 1936","Bartlebooth est en Ecosse (île de Skye)."
"70","chronologie","decembre 1937","Bartlebooth est au cap Saint-Vincent (Portugal)."
"70","chronologie","fevrier 1938","Bartlebooth est a Hammamet;"
"70","chronologie","juin 1938","Bartlebooth est a Alexandrie."
"70","chronologie","01/11/1948","Bartlebooth est en Californie (Santa Catalina Island)."
"70","chronologie","octobre 1951","Bartlebooth est a Okinawa."
"70","chronologie","octobre 1952","Bartlebooth est en Tasmanie."
"70","lieux","70"," "
"70","personnes","70"," "
"70","action","70"," "
