"chapter","constraint","value","text"
"26","chapitre","26","Bartlebooth,1"
"26","1A_position","un bras en l'air"," "
"26","1a_activite","reparer"," "
"26","1B_citation_1","Roussel"," "
"26","1b_citation_2","Freud"," "
"26","2A_nombre_personnes","+5"," "
"26","2a_role","domestique"," "
"26","2B_3e_secteur","faire-part"," "
"26","2b_ressort_","poursuivre une chimere"," "
"26","3A_murs","peinture mate"," "
"26","3a_sols","lino"," "
"26","3B_epoque","renaissance"," "
"26","3b_lieu","Moyen-Orient"," "
"26","4A_style","rustique"," "
"26","4a_meubles","chaise"," "
"26","4B_longueur","10 pages"," "
"26","4b_divers","argents (billets)"," "
"26","5A_age_et_sexe","jeune femme 18-35"," "
"26","5a_animaux","poisson"," "
"26","5B_vetement","chandail…"," "
"26","5b_tissus_(nature)","uni"," "
"26","6A_tissus_(matiere)","velours"," "
"26","6a_couleurs","blanc"," "
"26","6B_accessoires","ceintures"," "
"26","6b_bijoux","medailles, decorations"," "
"26","7A_lectures","roman, essai"," "
"26","7a_musiques","jazz"," "
"26","7B_tableaux","Le Songe de Ste Ursule(Carpaccio)"," "
"26","7b_livre","Moby Dick(Herman Melville)"," "
"26","8A_boissons","infusion"," "
"26","8a_nourriture","poissons et crustaces"," "
"26","8B_petit_meuble","cendriers"," "
"26","8b_jeux","go, echecs, dames"," "
"26","9A_sentiments","ennui"," "
"26","9a_peintures","cartes postales"," "
"26","9B_surface","carre"," "
"26","9b_volume","pyramide"," "
"26","0A_vegetal","arbustes"," "
"26","0a_bibelots","minerai de metal"," "
"26","0B_manque","5"," "
"26","0b_faux","8"," "
"26","1C_couple_1","Nuit"," "
"26","1c_couple_2","paturage"," "
"26","coordonnees","63","Gaspard Winckler decede a Paris le 29 octobre 1973 dans sa 63o annee"
"26","compendium","24","Le jeune milliardaire etudiant l'aquarelle en knickerbockers"
"26","compendium","35","La cuisiniere n'ayant a faire qu'un oeuf et du haddock poche"
"26","compendium","85","Le chauffeur ne conduisant plus s'amusant avec des reussites"
"26","histoires","62","de l’homme qui peignit des aquarelles et en fit des puzzles {Percival Bartlebooth}"
"26","chronologie","1910","naissance de Gaspard Winckler a La Ferte-Milon"
"26","chronologie","1925","Battlebooth commence a prendre des lecons d'aquarelle."
"26","chronologie","1955","Bartlebooth commence a reconstituer les puzzles de Gaspard Winckler."
"26","chronologie","1955","Kleber entre au service de Bartlebooth."
"26","chronologie","1971","Mme Adele prend sa retraite."
"26","chronologie","29 octobre 1973","mort de Gaspard Winckler."
"26","chap.99","26","Kleber fait une reussite et Helene recoud la manche de Smautf"
"26","lieux","26"," "
"26","personnes","26"," "
"26","action","26"," "
