"chapter","constraint","value","text"
18,"chapitre",18,"Rorschash,2"
18,"1A_position","sortir"," "
18,"1a_activite","toilette"," "
18,"1B_citation_1","Roussel"," "
18,"1b_citation_2","Stendhal"," "
18,"2A_nombre_personnes","3"," "
18,"2a_role","client"," "
18,"2B_3e_secteur","recette cuisine"," "
18,"2b_ressort_","baigner dans la nostalgie"," "
18,"3A_murs","peinture mate"," "
18,"3a_sols","moquette"," "
18,"3B_epoque","antiquite"," "
18,"3b_lieu","Espagne"," "
18,"4A_style","modern style, 1900,nouille"," "
18,"4a_meubles","table"," "
18,"4B_longueur","6 pages"," "
18,"4b_divers","argents (billets)"," "
18,"5A_age_et_sexe","homme 35-60"," "
18,"5a_animaux","araignee"," "
18,"5B_vetement","veste d'interieur"," "
18,"5b_tissus_(nature)","imprimes, a motif"," "
18,"6A_tissus_(matiere)","velours"," "
18,"6a_couleurs","vert"," "
18,"6B_accessoires","chapeau"," "
18,"6b_bijoux","lunettes"," "
18,"7A_lectures","3eme secteur"," "
18,"7a_musiques","operas"," "
18,"7B_tableaux","Le Chariot de foin(Jerome Bosch)"," "
18,"7b_livre","Dix petits negres(Agatha Christie)"," "
18,"8A_boissons","infusion"," "
18,"8a_nourriture","gateaux, sucreries"," "
18,"8B_petit_meuble","sculptures mobiles"," "
18,"8b_jeux","puzzle"," "
18,"9A_sentiments","ennui"," "
18,"9a_peintures","aquarelle, gouache"," "
18,"9B_surface","rectangle"," "
18,"9b_volume","tonneau"," "
18,"0A_vegetal","bois flotte"," "
18,"0a_bibelots","or, argent"," "
18,"0B_manque","0"," "
18,"0b_faux","6"," "
18,"1C_couple_1","cendres"," "
18,"1c_couple_2","paturage"," "
18,"coordonnees",54,"c'est une piece rectangulaire longue de cinq metres, large de quatre
un ecrin de verre cercle d'acier contenant 54 pieces anciennes"
18,"compendium",51,"Les sept acteurs refusant le role apres avoir lu le scenario"
18,"compendium",101,"Le preteur faisant mourir en un seul jour 30 000 Lusitaniens"
18,"chronologie",1954,"Bartlebooth et Smautf traversent la Turquie, la mer Noire, l'URSS, remontent jusqu'au cercle polaire, longent les cotes de Norvege;"
18,"lieux",18,"La salle a manger des Rorschash, a droite du grand vestibule"
18,"personnes",18,"Elle est vide."
18,"action",18,"AUCUNE"
